   Name , Alamo, Bravo, Foxtrot, Hotel, India, Sierra, xray
   Machine Type                           , Cluster                               , Cluster                               , Cluster                               , Cluster                               , Cluster                                , Cluster                                                                       , Cluster                         
   System Type                            , Dell PowerEdge M610 Blade             , HP Proliant                           , IBM iDataPlex dx 360 M2               , IBM iDataPlex dx 360 M2               , IBM iDataPlex dx 360 M2                , IBM iDataPlex dx 340                                                          , Cray XT5m                       
   CPU type                               , Intel Xeon X5550                      , Intel Xeon E5620                      , Intel Xeon X5520                      , Intel Xeon X5550                      , Intel Xeon X5550                       , Intel Xeon L5420                                                              , AMD Opteron 2378                
   Host Name                              , alamo                                 , bravo                                 , foxtrot                               , hotel                                 , india                                  , sierra                                                                        , xray                            
   CPU Speed                              , 2.66GHz                               , 2.40GHz                               , 2.26GHz                               , 2.66GHz                               , 2.66GHz                                , 2.5GHz                                                                        , 2.4GHz                          
   Number of CPUs                         ,192,32,64,168,256,168,168
   Number of nodes                        ,96,16,32,84,128,84,1
   RAM                                    , 12 GB DDR3 1333Mhz                    , 192 GB DDR3 1333Mhz                   , 24 GB DDR3 1333Mhz                    , 24 GB DDR3 1333Mhz                    , 24 GB DDR3 1333Mhz                     , 32 GB DDR2-667                                                                , 8 GB DDR2-800                   
   Total RAM (GB)                         ,1152,3072,768,2016,3072,2688,1344
   Number of cores                        ,768,128,256,672,1024,672,672
   Operating System                       , Linux                                 , Linux                                 , Linux                                 , Linux                                 , Linux                                  , Linux                                                                         , Linux                           
   Tflops                                 ,8,1.7,3,7,11,7,6
   Disk Size (TB)                         ,48,,20,120,335,72,335
   Hard Drives                            , 500 GB Internal 7200 RPM SAS Drive    , 6x2TB Internal 7200 RPM SATA Drive    , 500 GB Internal 7200 RPM SATA Drive   , 1 TB Internal 7200 RPM SATA Drive     , 3000 GB Internal 7200 RPM SATA Drive   , 160 GB Internal 7200 RPM SATA Drive                                           , 6 TB Internal Lustre Storage    
   Primary storage shared by all nodes  , NFS                                   , NFS                                   , NFS                                  , GPFS                                  ,  NFS                                   , ZFS filesystem with 76.8 TB raid2 storage and 5.4 TB of raid0 (for scratch)   , NFS                             
   Connection configuration               , Mellanox 4x QDR InfiniBand adapters   , Mellanox 4x DDR InfiniBand adapters   ,, Mellanox 4x DDR InfiniBand adapters   , Mellanox 4x DDR InfiniBand adapters    , Mellanox 4x DDR InfiniBand adapters                                           , Cray SeaStar Interconnect       
