   Name ,Echo, Alamo, Bravo, Delta, Foxtrot, Hotel, India, Sierra, xray
   Organization,, Texas Advanced Computing Center, Indiana University, Indiana University, University of Florida, University of Chicago, Indiana University, San Diego Supercomputer Center, Indiana University
   Machine Type                           ,Cluster SclaeMP, Cluster                               , Cluster                               , Cluster                           , Cluster                               , Cluster                               , Cluster                                , Cluster                                                                       , Cluster                         
   System Type                            ,SuperMicro, Dell PowerEdge M610 Blade             , HP Proliant                           ,, IBM iDataPlex dx 360 M2               , IBM iDataPlex dx 360 M2               , IBM iDataPlex dx 360 M2                , IBM iDataPlex dx 340                                                          , Cray XT5m                       
   CPU type                               ,Intel Xeon E5-2640, Intel Xeon X5550                      , Intel Xeon E5620                      , Intel Xeon 5660                   , Intel Xeon X5520                      , Intel Xeon X5550                      , Intel Xeon X5550                       , Intel Xeon L5420                                                              , AMD Opteron 2378                
   Host Name                              ,echo, alamo                                 , bravo                                 , delta                             , foxtrot                               , hotel                                 , india                                  , sierra                                                                        , xray                            
   CPU Speed                              ,2.50GHz, 2.66GHz                               , 2.40GHz                               , 2.80 GHz                          , 2.26GHz                               , 2.66GHz                               , 2.66GHz                                , 2.5GHz                                                                        , 2.4GHz                          
   Number of CPUs                         ,,192,32,32,64,168,256,168,168
   Number of nodes                        ,12,96,16,16,32,84,128,84,1
   RAM                                    ,, 12 GB DDR3 1333Mhz                    , 192 GB DDR3 1333Mhz                   , 192 GB DDR3 1333 Mhz               , 24 GB DDR3 1333Mhz                    , 24 GB DDR3 1333Mhz                    , 24 GB DDR3 1333Mhz                     , 32 GB DDR2-667                                                                , 8 GB DDR2-800                   
   Total RAM (GB)                         ,,1152,3072,3072,768,2016,3072,2688,1344
   Number of cores                        ,144,768,128,,256,672,1024,672,672
   Operating System                       ,, Linux                                 , Linux                                 ,Linux, Linux                                 , Linux                                 , Linux                                  , Linux                                                                         , Linux                           
   Tflops                                 ,,8,1.7,,3,7,11,7,6
   Disk Size (TB)                         ,2.8,48,,15,20,120,335,72,335
   Hard Drives                            ,, 500 GB Internal 7200 RPM SAS Drive    , 6x2TB Internal 7200 RPM SATA Drive    , Seagate Constellation 7.2 K RPM     64 MB Cache SATA 92GB   , 500 GB Internal 7200 RPM SATA Drive   , 1 TB Internal 7200 RPM SATA Drive     , 3000 GB Internal 7200 RPM SATA Drive   , 160 GB Internal 7200 RPM SATA Drive                                           , 6 TB Internal Lustre Storage    
   Primary storage shared by all nodes  ,, NFS                                   , NFS                                   ,NFS, NFS                                  , GPFS                                  ,  NFS                                   , ZFS filesystem with 76.8 TB raid2 storage and 5.4 TB of raid0 (for scratch)   , NFS                             
   Storage details                        ,,,, RAID 9260-4i 1pt SAS2  512 MB SGL  ,,,,,
   Connection configuration               ,, Mellanox 4x QDR InfiniBand adapters   , Mellanox 4x DDR InfiniBand adapters   ,,, Mellanox 4x DDR InfiniBand adapters   , Mellanox 4x DDR InfiniBand adapters    , Mellanox 4x DDR InfiniBand adapters                                           , Cray SeaStar Interconnect       
   Primary storage shared by all nodes   ,,,,92 ????,,,,,
   CPUs (cores) per node                  ,,,,2,,,,,
   Cores per CPU,,,,6,,,,,
   Total number of GPU cores,,,,192,,,,,
   GPU type                               ,,,, nVIDIA Tesla C2070                ,,,,,
   Cores per GPU,,,,448,,,,,
   GPUs per node,,,,2,,,,,
   Batch system                           ,,,, Torque                            ,,,,, 
